symbol,company_name,series,isin
AGARIND,Agarwal Industrial Corporation Limited,,
AGARWALEYE,Dr. Agarwal's Health Care Limited,,
AGI,AGI Greenpac Limited,,
AGIIL,Agi Infra Limited,,
AGRITECH,Agri-Tech (India) Limited,,
AGROPHOS,Agro Phos India Limited,,
AGSTRA,AGS Transact Technologies Limited,,
AHLADA,Ahlada Engineers Limited,,
AHLEAST,Asian Hotels (East) Limited,,
AHLUCONT,Ahluwalia Contracts (India) Limited,,
AIAENG,AIA Engineering Limited,,
AIIL,Authum Investment & Infrastructure Limited,,
AIRAN,Airan Limited,,
AIROLAM,Airo Lam limited,,
AJANTPHARM,Ajanta Pharma Limited,,
AJAXENGG,Ajax Engineering Limited,,
AJMERA,Ajmera Realty & Infra India Limited,,
AJOONI,Ajooni Biotech Limited,,
AKASH,Akash Infra-Projects Limited,,
AKG,Akg Exim Limited,,
AKI,AKI India Limited,,
AKSHAR,Akshar Spintex Limited,,
AKSHARCHEM,AksharChem India Limited,,
AKSHOPTFBR,Aksh Optifibre Limited,,
AKUMS,Akums Drugs and Pharmaceuticals Limited,,
AKZOINDIA,Akzo Nobel India Limited,,
ALANKIT,Alankit Limited,,
ALBERTDAVD,Albert David Limited,,
ALEMBICLTD,Alembic Limited,,
ALICON,Alicon Castalloy Limited,,
ALIVUS,Alivus Life Sciences Limited,,
ALKALI,Alkali Metals Limited,,
ALKEM,Alkem Laboratories Limited,,
ALKYLAMINE,Alkyl Amines Chemicals Limited,,
ALLCARGO,Allcargo Logistics Limited,,
ALLDIGI,Alldigi Tech Limited,,
ALMONDZ,Almondz Global Securities Limited,,
ALOKINDS,Alok Industries Limited,,
ALPA,Alpa Laboratories Limited,,
ALPHAGEO,Alphageo (India) Limited,,
ALPSINDUS,Alps Industries Limited,,
AMBER,Amber Enterprises India Limited,,
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,,
AMBIKCO,Ambika Cotton Mills Limited,,
AMBUJACEM,Ambuja Cements Limited,,
AMDIND,AMD Industries Limited,,
AMIORG,Ami Organics Limited,,
AMJLAND,Amj Land Holdings Limited,,
AMNPLST,Amines & Plasticizers Limited,,
AMRUTANJAN,Amrutanjan Health Care Limited,,
ANANDRATHI,Anand Rathi Wealth Limited,,
ANANTRAJ,Anant Raj Limited,,
ANDHRAPAP,ANDHRA PAPER LIMITED,,
ANDHRSUGAR,The Andhra Sugars Limited,,
ANGELONE,Angel One Limited,,
ANIKINDS,Anik Industries Limited,,
ANMOL,Anmol India Limited,,
ANSALAPI,Ansal Properties & Infrastructure Limited,,
ANTGRAPHIC,Antarctica Limited,,
ANUHPHR,Anuh Pharma Limited,,
ANUP,The Anup Engineering Limited,,
ANURAS,Anupam Rasayan India Limited,,
APARINDS,Apar Industries Limited,,
APCL,Anjani Portland Cement Limited,,
APCOTEXIND,Apcotex Industries Limited,,
APEX,Apex Frozen Foods Limited,,
APLAPOLLO,APL Apollo Tubes Limited,,
APLLTD,Alembic Pharmaceuticals Limited,,
APOLLO,Apollo Micro Systems Limited,,
APOLLOHOSP,Apollo Hospitals Enterprise Limited,,
APOLLOPIPE,Apollo Pipes Limited,,
APOLLOTYRE,Apollo Tyres Limited,,
APOLSINHOT,Apollo Sindoori Hotels Limited,,
APTECHT,Aptech Limited,,
APTUS,Aptus Value Housing Finance India Limited,,
ARCHIDPLY,Archidply Industries Limited,,
ARCHIES,Archies Limited,,
ARE&M,Amara Raja Energy & Mobility Limited,,
ARENTERP,Rajdarshan Industries Limited,,
ARIES,Aries Agro Limited,,
ARIHANTCAP,Arihant Capital Markets Limited,,
ARIHANTSUP,Arihant Superstructures Limited,,
ARKADE,Arkade Developers Limited,,
ARMANFIN,Arman Financial Services Limited,,
AROGRANITE,Aro Granite Industries Limited,,
ARROWGREEN,Arrow Greentech Limited,,
ARSHIYA,Arshiya Limited,,
ARTEMISMED,Artemis Medicare Services Limited,,
ARTNIRMAN,Art Nirman Limited,,
ARVEE,Arvee Laboratories (India) Limited,,
ARVIND,Arvind Limited,,
ARVINDFASN,Arvind Fashions Limited,,
ARVSMART,Arvind SmartSpaces Limited,,
ASAHIINDIA,Asahi India Glass Limited,,
ASAHISONG,Asahi Songwon Colors Limited,,
ASAL,Automotive Stampings and Assemblies Limited,,
ASALCBR,Associated Alcohols & Breweries Ltd.,,
ASHAPURMIN,Ashapura Minechem Limited,,
ASHIANA,Ashiana Housing Limited,,
ASHIMASYN,Ashima Limited,,
ASHOKA,Ashoka Buildcon Limited,,
ASHOKAMET,Ashoka Metcast Limited,,
ASHOKLEY,Ashok Leyland Limited,,
ASIANENE,Asian Energy Services Limited,,
ASIANHOTNR,Asian Hotels (North) Limited,,
ASIANPAINT,Asian Paints Limited,,
ASIANTILES,Asian Granito India Limited,,
ASKAUTOLTD,ASK Automotive Limited,,
ASMS,Bartronics India Limited,,
ASPINWALL,Aspinwall and Company Limited,,
ASTEC,Astec LifeSciences Limited,,
ASTERDM,Aster DM Healthcare Limited,,
ASTRAL,Astral Limited,,
ASTRAMICRO,Astra Microwave Products Limited,,
ASTRAZEN,AstraZeneca Pharma India Limited,,
ASTRON,Astron Paper & Board Mill Limited,,
ATALREAL,Atal Realtech Limited,,
ATAM,Atam Valves Limited,,
ATGL,Adani Total Gas Limited,,
ATL,Allcargo Terminals Limited,,
ATLANTAA,ATLANTAA LIMITED,,
ATLASCYCLE,Atlas Cycles (Haryana) Limited,,
ATUL,Atul Limited,,
ATULAUTO,Atul Auto Limited,,
AUBANK,AU Small Finance Bank Limited,,
AURIONPRO,Aurionpro Solutions Limited,,
AUROPHARMA,Aurobindo Pharma Limited,,
AURUM,Aurum PropTech Limited,,
AUSOMENT,Ausom Enterprise Limited,,
AUTOAXLES,Automotive Axles Limited,,
AUTOIND,Autoline Industries Limited,,
AVADHSUGAR,Avadh Sugar & Energy Limited,,
AVALON,Avalon Technologies Limited,,
AVANTEL,Avantel Limited,,
AVANTIFEED,Avanti Feeds Limited,,
AVG,AVG Logistics Limited,,
AVL,Aditya Vision Limited,,
AVONMORE,Avonmore Capital & Management Services Limited,,
AVROIND,AVRO INDIA LIMITED,,
AVTNPL,AVT Natural Products Limited,,
AWFIS,Awfis Space Solutions Limited,,
AWHCL,Antony Waste Handling Cell Limited,,
AWL,Adani Wilmar Limited,,
AXISBANK,Axis Bank Limited,,
AXISCADES,AXISCADES Technologies Limited,,
AXITA,Axita Cotton Limited,,
AYMSYNTEX,AYM Syntex Limited,,
AZAD,Azad Engineering Limited,,
BAFNAPH,Bafna Pharmaceuticals Limited,,
BAGFILMS,B.A.G Films and Media Limited,,
BAIDFIN,Baid Finserv Limited,,
BAJAJ-AUTO,Bajaj Auto Limited,,
BAJAJCON,Bajaj Consumer Care Limited,,
BAJAJELEC,Bajaj Electricals Limited,,
BAJAJFINSV,Bajaj Finserv Limited,,
BAJAJHCARE,Bajaj Healthcare Limited,,
BAJAJHFL,Bajaj Housing Finance Limited,,
BAJAJHIND,Bajaj Hindusthan Sugar Limited,,
BAJAJHLDNG,Bajaj Holdings & Investment Limited,,
BAJAJINDEF,Indef Manufacturing Limited,,
BAJEL,Bajel Projects Limited,,
BAJFINANCE,Bajaj Finance Limited,,
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,,
BALAJITELE,Balaji Telefilms Limited,,
BALAMINES,Balaji Amines Limited,,
BALAXI,BALAXI PHARMACEUTICALS LIMITED,,
BALKRISHNA,Balkrishna Paper Mills Limited,,
BALKRISIND,Balkrishna Industries Limited,,
BALMLAWRIE,Balmer Lawrie & Company Limited,,
BALPHARMA,Bal Pharma Limited,,
BALRAMCHIN,Balrampur Chini Mills Limited,,
BALUFORGE,Balu Forge Industries Limited,,
BANARBEADS,Banaras Beads Limited,,
BANARISUG,Bannari Amman Sugars Limited,,
BANCOINDIA,Banco Products (I) Limited,,
BANDHANBNK,Bandhan Bank Limited,,
BANG,Bang Overseas Limited,,
BANKA,Banka BioLoo Limited,,
BANKBARODA,Bank of Baroda,,
BANKINDIA,Bank of India,,
BANSALWIRE,Bansal Wire Industries Limited,,
BANSWRAS,Banswara Syntex Limited,,
BARBEQUE,Barbeque Nation Hospitality Limited,,
BASF,BASF India Limited,,
BASML,Bannari Amman Spinning Mills Limited,,
BATAINDIA,Bata India Limited,,
BAYERCROP,Bayer Cropscience Limited,,
BBL,Bharat Bijlee Limited,,
BBOX,Black Box Limited,,
BBTC,Bombay Burmah Trading Corporation Limited,,
BBTCL,B&B Triplewall Containers Limited,,
BCLIND,Bcl Industries Limited,,
BCONCEPTS,Brand Concepts Limited,,
BDL,Bharat Dynamics Limited,,
BEARDSELL,Beardsell Limited,,
BECTORFOOD,Mrs. Bectors Food Specialities Limited,,
BEDMUTHA,Bedmutha Industries Limited,,
BEL,Bharat Electronics Limited,,
BEML,BEML Limited,,
BEPL,Bhansali Engineering Polymers Limited,,
BERGEPAINT,Berger Paints (I) Limited,,
BESTAGRO,Best Agrolife Limited,,
BFINVEST,BF Investment Limited,,
BFUTILITIE,BF Utilities Limited,,
BGRENERGY,BGR Energy Systems Limited,,
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,,
BHAGERIA,Bhageria Industries Limited,,
BHAGYANGR,Bhagyanagar India Limited,,
BHANDARI,Bhandari Hosiery Exports Limited,,
BHARATFORG,Bharat Forge Limited,,
BHARATGEAR,Bharat Gears Limited,,
BHARATRAS,Bharat Rasayan Limited,,
BHARATSE,Bharat Seats Limited,,
BHARATWIRE,Bharat Wire Ropes Limited,,
BHARTIARTL,Bharti Airtel Limited,,
BHARTIHEXA,Bharti Hexacom Limited,,
BHEL,Bharat Heavy Electricals Limited,,
BIGBLOC,Bigbloc Construction Limited,,
BIKAJI,Bikaji Foods International Limited,,
BIL,Bhartiya International Limited,,
BINANIIND,Binani Industries Limited,,
BIOCON,Biocon Limited,,
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,,
BIRLACABLE,Birla Cable Limited,,
BIRLACORPN,Birla Corporation Limited,,
BIRLAMONEY,Aditya Birla Money Limited,,
BIRLANU,BirlaNu Limited,,
BLACKBUCK,Zinka Logistics Solutions Limited,,
BLAL,BEML Land Assets Limited,,
BLBLIMITED,BLB Limited,,
BLISSGVS,Bliss GVS Pharma Limited,,
BLKASHYAP,B. L. Kashyap and Sons Limited,,
BLS,BLS International Services Limited,,
BLSE,BLS E-Services Limited,,
BLUECHIP,Blue Chip India Limited,,
BLUECOAST,Blue Coast Hotels Limited,,
BLUEDART,Blue Dart Express Limited,,
BLUEJET,Blue Jet Healthcare Limited,,
BLUESTARCO,Blue Star Limited,,
BODALCHEM,Bodal Chemicals Limited,,
BOHRAIND,Bohra Industries Limited,,
BOMDYEING,Bombay Dyeing & Mfg Company Limited,,
BOROLTD,Borosil Limited,,
BORORENEW,BOROSIL RENEWABLES LIMITED,,
BOROSCI,Borosil Scientific Limited,,
BOSCHLTD,Bosch Limited,,
BPCL,Bharat Petroleum Corporation Limited,,
BPL,BPL Limited,,
BRIGADE,Brigade Enterprises Limited,,
BRITANNIA,Britannia Industries Limited,,
BRNL,Bharat Road Network Limited,,
BROOKS,Brooks Laboratories Limited,,
BSE,BSE Limited,,
BSHSL,Bombay Super Hybrid Seeds Limited,,
BSL,BSL Limited,,
BSOFT,BIRLASOFT LIMITED,,
BTML,Bodhi Tree Multimedia Limited,,
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,,
BVCL,Barak Valley Cements Limited,,
BYKE,The Byke Hospitality Ltd,,
CALSOFT,California Software Company Limited,,
CAMLINFINE,Camlin Fine Sciences Limited,,
CAMPUS,Campus Activewear Limited,,
CAMS,Computer Age Management Services Limited,,
CANBK,Canara Bank,,
CANFINHOME,Can Fin Homes Limited,,
CANTABIL,Cantabil Retail India Limited,,
CAPACITE,Capacit'e Infraprojects Limited,,
CAPITALSFB,Capital Small Finance Bank Limited,,
CAPLIPOINT,Caplin Point Laboratories Limited,,
CAPTRUST,Capital Trust Limited,,
CARBORUNIV,Carborundum Universal Limited,,
CARERATING,CARE Ratings Limited,,
CARRARO,Carraro India Limited,,
CARTRADE,Cartrade Tech Limited,,
CARYSIL,CARYSIL LIMITED,,
CASTROLIND,Castrol India Limited,,
CCCL,Consolidated Construction Consortium Limited,,
CCHHL,Country Club Hospitality & Holidays Limited,,
CCL,CCL Products (India) Limited,,
CDSL,Central Depository Services (India) Limited,,
CEATLTD,CEAT Limited,,
CEIGALL,Ceigall India Limited,,
CELEBRITY,Celebrity Fashions Limited,,
CELLO,Cello World Limited,,
CENTENKA,Century Enka Limited,,
CENTEXT,Century Extrusions Limited,,
CENTRALBK,Central Bank of India,,
CENTRUM,Centrum Capital Limited,,
CENTUM,Centum Electronics Limited,,
CENTURYPLY,Century Plyboards (India) Limited,,
CERA,Cera Sanitaryware Limited,,
CEREBRAINT,Cerebra Integrated Technologies Limited,,
CESC,CESC Limited,,
CEWATER,Concord Enviro Systems Limited,,
CGCL,Capri Global Capital Limited,,
CGPOWER,CG Power and Industrial Solutions Limited,,
CHALET,Chalet Hotels Limited,,
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,,
CHEMBOND,Chembond Chemicals Ltd,,
CHEMCON,Chemcon Speciality Chemicals Limited,,
CHEMFAB,Chemfab Alkalis Limited,,
CHEMPLASTS,Chemplast Sanmar Limited,,
CHENNPETRO,Chennai Petroleum Corporation Limited,,
CHEVIOT,Cheviot Company Limited,,
CHOICEIN,Choice International Limited,,
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,,
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,,
CIEINDIA,CIE Automotive India Limited,,
CIGNITITEC,Cigniti Technologies Limited,,
CINELINE,Cineline India Limited,,
CINEVISTA,Cinevista Limited,,
CIPLA,Cipla Limited,,
CLEAN,Clean Science and Technology Limited,,
CLEDUCATE,CL Educate Limited,,
CLSEL,Chaman Lal Setia Exports Limited,,
CMSINFO,CMS Info Systems Limited,,
COALINDIA,Coal India Limited,,
COASTCORP,Coastal Corporation Limited,,
COCHINSHIP,Cochin Shipyard Limited,,
COFFEEDAY,Coffee Day Enterprises Limited,,
COFORGE,Coforge Limited,,
COLPAL,Colgate Palmolive (India) Limited,,
COMPINFO,Compuage Infocom Limited,,
COMPUSOFT,Compucom Software Limited,,
COMSYN,Commercial Syn Bags Limited,,
CONCOR,Container Corporation of India Limited,,
CONCORDBIO,Concord Biotech Limited,,
CONFIPET,Confidence Petroleum India Limited,,
CONSOFINVT,Consolidated Finvest & Holdings Limited,,
CONTROLPR,Control Print Limited,,
CORALFINAC,Coral India Finance & Housing Limited,,
CORDSCABLE,Cords Cable Industries Limited,,
COROMANDEL,Coromandel International Limited,,
COSMOFIRST,COSMO FIRST LIMITED,,
COUNCODOS,Country Condo's Limited,,
CPCAP,CP Capital Limited,,
CRAFTSMAN,Craftsman Automation Limited,,
CREATIVE,Creative Newtech Limited,,
CREATIVEYE,Creative Eye Limited,,
CREDITACC,CREDITACCESS GRAMEEN LIMITED,,
CREST,Crest Ventures Limited,,
CRISIL,CRISIL Limited,,
CROMPTON,Crompton Greaves Consumer Electricals Limited,,
CROWN,Crown Lifters Limited,,
CSBBANK,CSB Bank Limited,,
CSLFINANCE,CSL Finance Limited,,
CTE,Cambridge Technology Enterprises Limited,,
CUB,City Union Bank Limited,,
CUBEXTUB,Cubex Tubings Limited,,
CUMMINSIND,Cummins India Limited,,
CUPID,Cupid Limited,,
CURAA,Cura Technologies Limited,,
CYBERMEDIA,Cyber Media (India) Limited,,
CYBERTECH,Cybertech Systems And Software Limited,,
CYIENT,Cyient Limited,,
CYIENTDLM,Cyient DLM Limited,,
DABUR,Dabur India Limited,,
DALBHARAT,Dalmia Bharat Limited,,
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,,
DAMCAPITAL,Dam Capital Advisors Limited,,
DAMODARIND,Damodar Industries Limited,,
DANGEE,Dangee Dums Limited,,
DATAMATICS,Datamatics Global Services Limited,,
DATAPATTNS,Data Patterns (India) Limited,,
DAVANGERE,Davangere Sugar Company Limited,,
DBCORP,D.B.Corp Limited,,
DBEIL,Deepak Builders & Engineers India Limited,,
DBL,Dilip Buildcon Limited,,
DBOL,Dhampur Bio Organics Limited,,
DBREALTY,Valor Estate Limited,,
DBSTOCKBRO,DB (International) Stock Brokers Limited,,
DCAL,Dishman Carbogen Amcis Limited,,
DCBBANK,DCB Bank Limited,,
DCI,Dc Infotech And Communication Limited,,
DCM,DCM  Limited,,
DCMFINSERV,DCM Financial Services Limited,,
DCMNVL,DCM Nouvelle Limited,,
DCMSHRIRAM,DCM Shriram Limited,,
DCMSRIND,DCM Shriram Industries Limited,,
DCW,DCW Limited,,
DCXINDIA,DCX Systems Limited,,
DDEVPLSTIK,Ddev Plastiks Industries Limited,,
DECCANCE,Deccan Cements Limited,,
DEEDEV,DEE Development Engineers Limited,,
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,,
DEEPAKNTR,Deepak Nitrite Limited,,
DEEPINDS,Deep Industries Limited,,
DELHIVERY,Delhivery Limited,,
DELPHIFX,DELPHI WORLD MONEY LIMITED,,
DELTACORP,Delta Corp Limited,,
DELTAMAGNT,Delta Manufacturing Limited,,
DEN,Den Networks Limited,,
DENORA,De Nora India Limited,,
DENTA,Denta Water and Infra Solutions Limited,,
DEVIT,Dev Information Technology Limited,,
DEVYANI,Devyani International Limited,,
DGCONTENT,Digicontent Limited,,
DHAMPURSUG,Dhampur Sugar Mills Limited,,
DHANBANK,Dhanlaxmi Bank Limited,,
DHANI,Dhani Services Limited,,
DHANUKA,Dhanuka Agritech Limited,,
DHARMAJ,Dharmaj Crop Guard Limited,,
DHRUV,Dhruv Consultancy Services Limited,,
DHUNINV,Dhunseri Investments Limited,,
DIACABS,Diamond Power Infrastructure Limited,,
DIAMINESQ,Diamines & Chemicals Limited,,
DIAMONDYD,Prataap Snacks Limited,,
DICIND,DIC India Limited,,
DIFFNKG,Diffusion Engineers Limited,,
DIGIDRIVE,Digidrive Distributors Limited,,
DIGISPICE,DiGiSPICE Technologies Limited,,
DIGJAMLMTD,Digjam Limited,,
DIL,Debock Industries Limited,,
DISHTV,Dish TV India Limited,,
DIVGIITTS,Divgi Torqtransfer Systems Limited,,
DIVISLAB,Divi's Laboratories Limited,,
DIXON,Dixon Technologies (India) Limited,,
DJML,DJ Mediaprint & Logistics Limited,,
DLF,DLF Limited,,
DLINKINDIA,D-Link (India) Limited,,
DMART,Avenue Supermarts Limited,,
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,,
DNAMEDIA,Diligent Media Corporation Limited,,
DODLA,Dodla Dairy Limited,,
DOLATALGO,Dolat Algotech Limited,,
DOLLAR,Dollar Industries Limited,,
DOLPHIN,Dolphin Offshore Enterprises (India) Limited,,
DOMS,DOMS Industries Limited,,
DONEAR,Donear Industries Limited,,
DPABHUSHAN,D. P. Abhushan Limited,,
DPSCLTD,DPSC Limited,,
DPWIRES,D P Wires Limited,,
DRCSYSTEMS,DRC Systems India Limited,,
DREAMFOLKS,Dreamfolks Services Limited,,
DREDGECORP,Dredging Corporation of India Limited,,
DRREDDY,Dr. Reddy's Laboratories Limited,,
DSSL,Dynacons Systems & Solutions Limited,,
